id,node1,node2,weight,startDate,endDate,description,title,url,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
13244,47682M,46514Q,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,47682M,24663R,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,47682M,67787A,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,47682M,63039C,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,47682M,24663Q,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,46514Q,24663R,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,46514Q,67787A,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,46514Q,63039C,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,46514Q,24663Q,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
13244,24663R,67787A,6,1990-09-11,,"To explore for oil along the Mediterranean coast of Israel. In addition to
Isramco the partners in the venture included an Israeli investor group and
a group of private investors led by Armand Hammer. The venture was to
continue despite the death of Dr. Hammer.  In 1990, the venture announced
it had discovered oil off the Israeli coast.",,,0,0,0,0,0,0,0,0,0,0,1
